chembl_id,name,smiles,first_approval
CHEMBL266349,Melagatran,N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1,2004.0
CHEMBL452,Clonazepam,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,1975.0
CHEMBL453,Sulfisoxazole,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,1971.0
CHEMBL268869,Sulfamethoxypyridazine,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,
CHEMBL454,Butalbital,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,1983.0
CHEMBL455,Sulfacetamide,CC(=O)NS(=O)(=O)c1ccc(N)cc1,1945.0
CHEMBL43,Amsacrine,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,1987.0
CHEMBL456,Ethacrynic Acid,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,1967.0
CHEMBL267744,Ticrynafen,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,1979.0
CHEMBL457,Gemfibrozil,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,1981.0
CHEMBL45,Melatonin,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,2007.0
CHEMBL46,Ondansetron,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,1991.0
CHEMBL49,Buspirone,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,1986.0
CHEMBL51,Ketanserin,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,
CHEMBL459,Methyldopa,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,1962.0
CHEMBL460,Molindone,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,1974.0
CHEMBL53,Apomorphine,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,2001.0
CHEMBL54,Haloperidol,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,1967.0
CHEMBL55,Pentamidine,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,1984.0
CHEMBL463,Aminohippuric Acid,Nc1ccc(C(=O)NCC(=O)O)cc1,1982.0
CHEMBL464,Etretinate,CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C,1986.0
CHEMBL57,Nevirapine,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,1996.0
CHEMBL465,Dronabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,1985.0
CHEMBL58,Mitoxantrone,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,1987.0
CHEMBL59,Dopamine,NCCc1ccc(O)c(O)c1,1974.0
CHEMBL467,Hydroxyurea,NC(=O)NO,1967.0
CHEMBL61,Podofilox,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,1990.0
CHEMBL64,Isoniazid,NNC(=O)c1ccncc1,1952.0
